NRO,CODIGO,NOMBRE DE CENTRO ESCOLAR,TAMAÑO,MATRICULA,ITEM,TIPO,CATEGORIA,CANTIDAD
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,CAJAS,CAJAS,PARVULARIA 4,8
7,11559,"ESCUELA DE EDUCACION PARVULARIA ""SAN JACINTO""",PEQUEÑA,32,CAJAS,CAJAS,PARVULARIA 4,19
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,CAJAS,CAJAS,PARVULARIA 5,2
8,11563,"ESCUELA DE EDUCACION PARVULARIA "" COLONIA ATONALT """,PEQUEÑA,14,CAJAS,CAJAS,PARVULARIA 5,1
9,11570,"ESCUELA DE EDUCACION PARVULARIA ""SAN MIGUELITO""",PEQUEÑA,42,CAJAS,CAJAS,PARVULARIA 5,2
10,11576,"ESCUELA DE EDUCACION PARVULARIA ""COLONIA CENTRO AMERICA""",PEQUEÑA,65,CAJAS,CAJAS,PARVULARIA 5,4
26,86396,CENTRO ESCOLAR CANTÓN SUCHINANGO,PEQUEÑA,45,CAJAS,CAJAS,PARVULARIA 5,2
27,88050,"ESCUELA DE EDUCACIÓN PARVULARIA CATÓLICA ""MARGARITA NASEAU""",PEQUEÑA,44,CAJAS,CAJAS,PARVULARIA 5,2
29,88138,"ESCUELA DE EDUCACIÓN ESPECIAL CATÓLICA ""PADRE VITO GUARATO""",PEQUEÑA,59,CAJAS,CAJAS,PARVULARIA 5,30
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,CAJAS,CAJAS,PARVULARIA 6,5
7,11559,"ESCUELA DE EDUCACION PARVULARIA ""SAN JACINTO""",PEQUEÑA,32,CAJAS,CAJAS,PARVULARIA 6,1
8,11563,"ESCUELA DE EDUCACION PARVULARIA "" COLONIA ATONALT """,PEQUEÑA,14,CAJAS,CAJAS,PARVULARIA 6,1
9,11570,"ESCUELA DE EDUCACION PARVULARIA ""SAN MIGUELITO""",PEQUEÑA,42,CAJAS,CAJAS,PARVULARIA 6,2
10,11576,"ESCUELA DE EDUCACION PARVULARIA ""COLONIA CENTRO AMERICA""",PEQUEÑA,65,CAJAS,CAJAS,PARVULARIA 6,2
26,86396,CENTRO ESCOLAR CANTÓN SUCHINANGO,PEQUEÑA,45,CAJAS,CAJAS,PARVULARIA 6,1
27,88050,"ESCUELA DE EDUCACIÓN PARVULARIA CATÓLICA ""MARGARITA NASEAU""",PEQUEÑA,44,CAJAS,CAJAS,PARVULARIA 6,1
29,88138,"ESCUELA DE EDUCACIÓN ESPECIAL CATÓLICA ""PADRE VITO GUARATO""",PEQUEÑA,59,CAJAS,CAJAS,PARVULARIA 6,20
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,CAJAS,CAJAS,PRIMER GRADO,7
5,11492,"COMPLEJO EDUCATIVO ""IGNACIO PACHECO CASTRO""",GRANDE,2102,CAJAS,CAJAS,SEGUNDO GRADO,4
